State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NM;35045;San Juan;130,044;14,278.776;65.674;14,344.450;+36.511625°;–108.324578°
NM;35047;San Miguel;29,393;12,213.919;51.380;12,265.299;+35.476876°;–104.803515°
NM;35049;Santa Fe;144,170;4,945.359;3.775;4,949.134;+35.513722°;–105.966441°
NM;35051;Sierra;11,988;10,823.447;148.324;10,971.771;+33.119479°;–107.188161°
NM;35053;Socorro;17,866;17,214.818;5.360;17,220.178;+33.991614°;–106.939003°
NM;35055;Taos;32,937;5,706.030;3.386;5,709.415;+36.576529°;–105.637987°
NM;35057;Torrance;16,383;8,663.109;2.301;8,665.410;+34.634644°;–105.846836°
NM;35059;Union;4,549;9,903.450;18.468;9,921.918;+36.488085°;–103.475723°
NM;35061;Valencia;76,569;2,761.380;5.489;2,766.870;+34.716840°;–106.806582°
NY;36001;Albany;304,204;1,354.056;27.189;1,381.246;+42.588271°;–73.974014°
NY;36003;Allegany;48,946;2,665.895;13.154;2,679.048;+42.247894°;–78.026176°
NY;36005;Bronx [10];1,385,108;109.029;39.838;148.867;+40.848711°;–73.852939°
NY;36007;Broome;200,600;1,827.926;25.249;1,853.174;+42.161977°;–75.830291°
NY;36009;Cattaraugus;80,317;3,388.612;36.610;3,425.222;+42.244853°;–78.681006°
NY;36011;Cayuga;80,026;1,791.190;445.708;2,236.898;+43.008546°;–76.574587°
NY;36013;Chautauqua;134,905;2,745.974;1,139.483;3,885.457;+42.304216°;–79.407595°
NY;36015;Chemung;88,830;1,055.036;8.877;1,063.913;+42.155281°;–76.747179°
NY;36017;Chenango;50,477;2,314.280;13.161;2,327.441;+42.489732°;–75.604905°
NY;36019;Clinton;82,128;2,688.025;206.355;2,894.381;+44.752710°;–73.705648°
NY;36021;Columbia;63,096;1,643.879;35.121;1,679.000;+42.247729°;–73.626805°
NY;36023;Cortland;49,336;1,291.783;7.144;1,298.927;+42.593824°;–76.076265°
NY;36025;Delaware;47,980;3,735.903;64.766;3,800.668;+42.193987°;–74.966728°
NY;36027;Dutchess;297,488;2,060.672;76.969;2,137.640;+41.755009°;–73.739951°
NY;36029;Erie;919,040;2,700.563;476.974;3,177.537;+42.752759°;–78.778192°
NY;36031;Essex;39,370;4,647.030;315.978;4,963.007;+44.108971°;–73.777573°
NY;36033;Franklin;51,599;4,219.398;177.032;4,396.430;+44.594374°;–74.310670°
NY;36035;Fulton;55,531;1,283.259;96.893;1,380.152;+43.115609°;–74.423678°
NY;36037;Genesee;60,079;1,276.698;6.143;1,282.840;+43.000910°;–78.192778°
NY;36039;Greene;49,221;1,676.140;28.201;1,704.341;+42.286951°;–74.149495°
NY;36041;Hamilton;4,836;4,447.976;234.214;4,682.190;+43.657879°;–74.502456°
